year,film editing,best motion picture
1944,Wilson,Going My Way
1945,National Velvet,The Lost Weekend
1946,The Best Years of Our Lives,The Best Years of Our Lives
1947,Body and Soul ,Gentleman's Agreement
1948,The Naked City,Hamlet
1949,Champion,All the King's Men
1950,King Solomon's Mines,All about Eve
1951,A Place in the Sun,An American in Paris
1952,High Noon,The Greatest Show on Earth
1953,From Here to Eternity,From Here to Eternity 
1954,On the Waterfront,On the Waterfront
1955,Picnic,Marty
1956,Around the World in 80 Days,Around the World in 80 Days
1957,The Bridge on the River Kwai,The Bridge on the River Kwai
1958,Gigi,Gigi
1959,Ben-Hur,Ben-Hur
1960,The Apartment,The Apartment
1961,West Side Story,West Side Story 
1962,Lawrence of Arabia,Lawrence of Arabia
1963,How the West Was Won,Tom Jones
1964,Mary Poppins,My Fair Lady
1965,The Sound of Music,The Sound of Music
1966,Grand Prix,A Man for All Seasons
1967,In the Heat of the Night,In the Heat of the Night
1968,Bullitt,Oliver!
1969,Z,Midnight Cowboy
1970,Patton,Patton
1971,The French Connection,The French Connection
1972,Cabaret,The Godfather
1973,The Sting,The Sting
1974,The Towering Inferno,The Godfather Part II
1975,Jaws,One Flew over the Cuckoo's Nest
1976,Rocky ,Rocky
1977,Star Wars,Annie Hall
1978,The Deer Hunter,The Deer Hunter
1979,All That Jazz,Kramer vs. Kramer
1980,Raging Bull,Ordinary People
1981,Raiders of the Lost Ark,Chariots of Fire
1982,Gandhi,Gandhi
1983,The Right Stuff,Terms of Endearment
1984,The Killing Fields,Amadeus
1985,Witness,Out of Africa
1986,Platoon,Platoon
1987,The Last Emperor,The Last Emperor
1988,Who Framed Roger Rabbit,Rain Man
1989,Born on the Fourth of July,Driving Miss Daisy
1990,Dances With Wolves,Dances With Wolves
1991,JFK,The Silence of the Lambs
1992,Unforgiven,Unforgiven
1993,Schindler's List,Schindler's List
1994,Forrest Gump,Forrest Gump
1995,Apollo 13,Braveheart
1996,The English Patient,The English Patient
1997,Titanic,Titanic
1998,Saving Private Ryan,Shakespeare in Love
1999,The Matrix,American Beauty
2000,Traffic,Gladiator
2001,Black Hawk Down,A Beautiful Mind
2002,Chicago,Chicago
2003,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
2004,The Aviator,Million Dollar Baby
2005,Crash,Crash
2006,The Departed,The Departed
2007,The Bourne Ultimatum,No Country for Old Men
2008,Slumdog Millionaire,Slumdog Millionaire
2009,The Hurt Locker,The Hurt Locker
2010,The Social Network,The King's Speech
2011,The Girl with the Dragon Tattoo,The Artist
2012,Argo,Argo
2013,Gravity,12 Years a Slave
2014,Whiplash,Birdman or (The Unexpected Virtue of Ignorance)
