movie_id,movie_name,year,category_id,category_name,won
1,Biutiful ,2010,1,Actor -- Leading Role,0
2,True Grit ,2010,1,Actor -- Leading Role,0
2,True Grit ,2010,4,Actress -- Supporting Role,0
3,The Social Network ,2010,1,Actor -- Leading Role,0
4,The King's Speech ,2010,1,Actor -- Leading Role,1
4,The King's Speech ,2010,2,Actor -- Supporting Role,0
4,The King's Speech ,2010,4,Actress -- Supporting Role,0
5,127 Hours ,2010,1,Actor -- Leading Role,0
6,The Fighter ,2010,2,Actor -- Supporting Role,1
6,The Fighter ,2010,4,Actress -- Supporting Role,1
6,The Fighter ,2010,4,Actress -- Supporting Role,0
7,Winter's Bone ,2010,2,Actor -- Supporting Role,0
7,Winter's Bone ,2010,3,Actress -- Leading Role,0
8,The Town ,2010,2,Actor -- Supporting Role,0
9,The Kids Are All Right ,2010,2,Actor -- Supporting Role,0
9,The Kids Are All Right ,2010,3,Actress -- Leading Role,0
10,Rabbit Hole ,2010,3,Actress -- Leading Role,0
11,Black Swan ,2010,3,Actress -- Leading Role,1
12,Blue Valentine ,2010,3,Actress -- Leading Role,0
13,Animal Kingdom ,2010,4,Actress -- Supporting Role,0
14,How to Train Your Dragon,2010,5,Animated Feature Film,0
14,How to Train Your Dragon,2010,14,Music (Scoring),0
15,The Illusionist,2010,5,Animated Feature Film,0
16,Toy Story 3,2010,5,Animated Feature Film,1
16,Toy Story 3,2010,15,Music (Song),1
16,Toy Story 3,2010,16,Best Picture,0
16,Toy Story 3,2010,20,Sound Editing,0
16,Toy Story 3,2010,22,Writing,0
17,Alice in Wonderland,2010,6,Art Direction,1
17,Alice in Wonderland,2010,8,Costume Design,1
17,Alice in Wonderland,2010,21,Visual Effects,0
18,Harry Potter and the Deathly Hallows Part 1,2010,6,Art Direction,0
18,Harry Potter and the Deathly Hallows Part 1,2010,21,Visual Effects,0
19,Inception,2010,6,Art Direction,0
19,Inception,2010,7,Cinematography,1
19,Inception,2010,14,Music (Scoring),0
19,Inception,2010,16,Best Picture,0
19,Inception,2010,19,Sound,1
19,Inception,2010,20,Sound Editing,1
19,Inception,2010,21,Visual Effects,1
19,Inception,2010,22,Writing,0
20,The King's Speech,2010,6,Art Direction,0
20,The King's Speech,2010,7,Cinematography,0
20,The King's Speech,2010,8,Costume Design,0
20,The King's Speech,2010,9,Directing,1
20,The King's Speech,2010,12,Film Editing,0
20,The King's Speech,2010,14,Music (Scoring),0
20,The King's Speech,2010,16,Best Picture,1
20,The King's Speech,2010,19,Sound,0
20,The King's Speech,2010,22,Writing,1
21,True Grit,2010,6,Art Direction,0
21,True Grit,2010,7,Cinematography,0
21,True Grit,2010,8,Costume Design,0
21,True Grit,2010,9,Directing,0
21,True Grit,2010,16,Best Picture,0
21,True Grit,2010,19,Sound,0
21,True Grit,2010,20,Sound Editing,0
21,True Grit,2010,22,Writing,0
22,Black Swan,2010,7,Cinematography,0
22,Black Swan,2010,9,Directing,0
22,Black Swan,2010,12,Film Editing,0
22,Black Swan,2010,16,Best Picture,0
23,The Social Network,2010,7,Cinematography,0
23,The Social Network,2010,9,Directing,0
23,The Social Network,2010,12,Film Editing,1
23,The Social Network,2010,14,Music (Scoring),1
23,The Social Network,2010,16,Best Picture,0
23,The Social Network,2010,19,Sound,0
23,The Social Network,2010,22,Writing,1
24,I Am Love,2010,8,Costume Design,0
25,The Tempest,2010,8,Costume Design,0
26,The Fighter,2010,9,Directing,0
26,The Fighter,2010,12,Film Editing,0
26,The Fighter,2010,16,Best Picture,0
26,The Fighter,2010,22,Writing,0
27,Exit through the Gift Shop,2010,10,Documentary (Feature),0
28,Gasland,2010,10,Documentary (Feature),0
29,Inside Job,2010,10,Documentary (Feature),1
30,Restrepo,2010,10,Documentary (Feature),0
31,Waste Land,2010,10,Documentary (Feature),0
32,Killing in the Name,2010,11,Documentary (Short Subject),0
33,Poster Girl,2010,11,Documentary (Short Subject),0
34,Strangers No More,2010,11,Documentary (Short Subject),1
35,Sun Come Up,2010,11,Documentary (Short Subject),0
36,The Warriors of Qiugang,2010,11,Documentary (Short Subject),0
37,127 Hours,2010,12,Film Editing,0
37,127 Hours,2010,14,Music (Scoring),0
37,127 Hours,2010,15,Music (Song),0
37,127 Hours,2010,16,Best Picture,0
37,127 Hours,2010,22,Writing,0
38,Barney's Version,2010,13,Makeup,0
39,The Way Back,2010,13,Makeup,0
40,The Wolfman,2010,13,Makeup,1
41,Country Strong,2010,15,Music (Song),0
42,Tangled,2010,15,Music (Song),0
43,The Kids Are All Right,2010,16,Best Picture,0
43,The Kids Are All Right,2010,22,Writing,0
44,Winter's Bone,2010,16,Best Picture,0
44,Winter's Bone,2010,22,Writing,0
45,Day & Night,2010,17,Short Film (Animated),0
46,The Gruffalo,2010,17,Short Film (Animated),0
47,Let's Pollute,2010,17,Short Film (Animated),0
48,The Lost Thing,2010,17,Short Film (Animated),1
49,"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",2010,17,Short Film (Animated),0
50,The Confession,2010,18,Short Film (Live Action),0
51,The Crush,2010,18,Short Film (Live Action),0
52,God of Love,2010,18,Short Film (Live Action),1
53,Na Wewe,2010,18,Short Film (Live Action),0
54,Wish 143,2010,18,Short Film (Live Action),0
55,Salt,2010,19,Sound,0
56,Tron: Legacy,2010,20,Sound Editing,0
57,Unstoppable,2010,20,Sound Editing,0
58,Hereafter,2010,21,Visual Effects,0
59,Iron Man 2,2010,21,Visual Effects,0
60,Another Year,2010,22,Writing,0
61,Crazy Heart ,2009,1,Actor -- Leading Role,1
61,Crazy Heart ,2009,4,Actress -- Supporting Role,0
62,Up in the Air ,2009,1,Actor -- Leading Role,0
62,Up in the Air ,2009,4,Actress -- Supporting Role,0
62,Up in the Air ,2009,4,Actress -- Supporting Role,0
